id,term,ipa,category,type,definition_en,meaning_vi,source_sentence,my_sentence,priority,collocation_pattern,ielts_topics,skill_use,difficulty,card_types,origin,review_status,anki_export,tags
clim-012,clogged drainage systems,/klɒɡd ˈdreɪ.nɪdʒ ˈsɪs.təmz/,"Climate, Environment & Geography",noun_phrase,drainage networks blocked with waste so that water cannot flow freely,hệ thống thoát nước bị tắc nghẽn,Clogged drainage systems are a constant problem in the older parts of the city.,,P2,clogged drainage systems,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-013,drainage system,/ˈdreɪ.nɪdʒ ˈsɪs.təm/,"Climate, Environment & Geography",noun_phrase,a network of pipes or channels that carry away unwanted water or waste liquid,hệ thống thoát nước,The city's aging drainage system cannot handle heavy rainfall.,,P2,drainage system,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-014,densely populated,/ˈdens.li ˈpɒp.jə.leɪ.tɪd/,"Climate, Environment & Geography",noun_phrase,having a very large number of people living within a small area,có mật độ dân số cao,Most of the new infections were reported in densely populated parts of the city.,,P2,densely populated,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-015,slum,/slʌm/,"Climate, Environment & Geography",word,an area of a city that is very poor and where the houses are dirty and in bad condition,khu ổ chuột,Families living in the slum often share a single water tap with their neighbors.,,P2,slum,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-016,"living in slums, where sanitation is poor",/ˈlɪv.ɪŋ ɪn slʌmz weə ˌsæn.ɪˈteɪ.ʃən ɪz pɔː/,"Climate, Environment & Geography",prepositional_pattern,residing in overcrowded urban areas that lack proper waste-disposal and clean-water facilities,"sống trong các khu ổ chuột, nơi điều kiện vệ sinh kém","Millions of people are living in slums, where sanitation is poor and disease spreads easily.",,P2,"living in slums, where sanitation is poor",health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-017,sanitation,/ˌsæn.ɪˈteɪ.ʃən/,"Climate, Environment & Geography",word,the systems for taking dirty water and other waste products away from buildings in order to protect people's health,vệ sinh môi trường,Poor sanitation in low-income neighborhoods has made the epidemic harder to control.,,P2,sanitation,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-018,beleaguered infrastructure,/bɪˈliː.ɡəd ˈɪn.frə.strʌk.tʃə/,"Climate, Environment & Geography",noun_phrase,the basic systems and services of a country or city that are under serious pressure or difficulty,cơ sở hạ tầng đang gặp khó khăn,Years of underinvestment have left the country with a beleaguered infrastructure.,,P2,beleaguered infrastructure,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-019,a city with a beleaguered infrastructure,/ə ˈsɪt.i wɪð ə bɪˈliː.ɡəd ˈɪn.frə.strʌk.tʃə/,"Climate, Environment & Geography",prepositional_pattern,"an urban area whose basic systems such as roads, water supply and sewage are struggling to function",một thành phố có cơ sở hạ tầng đang gặp khó khăn,Dhaka is a city with a beleaguered infrastructure that cannot keep up with its growing population.,,P2,a city with a beleaguered infrastructure,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-020,is home to,/ɪz həʊm tu/,"Climate, Environment & Geography",prepositional_pattern,"to be the place where a particular group of people, animals or things can be found","là nơi sinh sống của, là nơi có",Bangladesh is home to more than 170 million people.,,P2,is home to,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
scale-001,severe,/sɪˈvɪə/,Scale & Severity,word,extremely bad or serious,nghiêm trọng,Patients with severe symptoms were transferred to the intensive care unit.,,P2,severe,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-002,the most severe in history,/ðə məʊst sɪˈvɪər ɪn ˈhɪs.tər.i/,Scale & Severity,prepositional_pattern,the worst that has ever been recorded,nghiêm trọng nhất trong lịch sử,Scientists described the heatwave as the most severe in history.,,P2,the most severe in history,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-003,fast-spreading,/fɑːst ˈspred.ɪŋ/,Scale & Severity,word,moving or growing through an area very quickly,lây lan nhanh,Officials warned residents about a fast-spreading rumor on social media.,,P2,fast-spreading,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-004,crisis,/ˈkraɪ.sɪs/,Scale & Severity,word,"a time of great danger, difficulty or doubt when problems must be solved or important decisions made",khủng hoảng,The financial crisis forced the government to cut public spending sharply.,,P2,crisis,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-005,worsening,/ˈwɜː.sən.ɪŋ/,Scale & Severity,word,becoming worse,đang trở nên tồi tệ hơn,Doctors are alarmed by the worsening shortage of essential medicines.,,P2,worsening,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-006,severity,/sɪˈver.ə.ti/,Scale & Severity,word,"the fact or condition of being very bad, serious or unpleasant",mức độ nghiêm trọng,Reports from the field underestimated the severity of the damage.,,P2,severity,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-007,add to the severity,/æd tə ðə sɪˈver.ə.ti/,Scale & Severity,prepositional_pattern,to make a serious situation even worse,làm tăng thêm mức độ nghiêm trọng,Power cuts added to the severity of the heatwave for elderly residents.,,P2,add to the severity,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-008,threat,/θret/,Scale & Severity,word,a person or thing likely to cause damage or danger,mối đe dọa,Antibiotic resistance has become a major threat to global health.,,P2,threat,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-009,rise,/raɪz/,Scale & Severity,word,"an increase in the amount, number or level of something",sự gia tăng,Officials are investigating the recent rise in respiratory illnesses.,,P2,rise,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-010,decline,/dɪˈklaɪn/,Scale & Severity,word,"to become smaller, fewer or less",giảm xuống,Case numbers began to decline after the new restrictions took effect.,,P2,decline,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-011,spread,/spred/,Scale & Severity,word,to affect or be known by more and more people or over a larger area,lan rộng,Misinformation about the disease has spread rapidly online.,,P2,spread,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
people-001,rural residents,/ˈrʊə.rəl ˈrez.ɪ.dənts/,"People, Refugees & Vulnerable Groups",noun_phrase,people who live in the countryside rather than in towns or cities,cư dân nông thôn,Rural residents often have to travel long distances to reach the nearest clinic.,,P2,rural residents,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-002,rural area,/ˈrʊə.rəl ˈeə.ri.ə/,"People, Refugees & Vulnerable Groups",noun_phrase,"an area in the countryside, away from large towns or cities",khu vực nông thôn,Internet access remains limited in many rural areas.,,P2,rural area,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-003,refugee,/ˌref.juˈdʒiː/,"People, Refugees & Vulnerable Groups",word,"a person who has been forced to leave their country in order to escape war, persecution or natural disaster",người tị nạn,Aid agencies are calling for more support for refugees crossing the border.,,P2,refugee,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-004,refugee camp,/ˌref.juˈdʒiː kæmp/,"People, Refugees & Vulnerable Groups",noun_phrase,a place where people who have fled their country are temporarily housed,trại tị nạn,Conditions in the refugee camp have deteriorated since the start of the rainy season.,,P2,refugee camp,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-005,crowded camp,/ˈkraʊ.dɪd kæmp/,"People, Refugees & Vulnerable Groups",noun_phrase,a temporary settlement holding far more people than it was designed for,khu trại đông đúc,Disease spreads quickly in crowded camps where families share small shelters.,,P2,crowded camp,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-006,patient,/ˈpeɪ.ʃənt/,"People, Refugees & Vulnerable Groups",word,"a person who is receiving medical treatment, especially in a hospital",bệnh nhân,Each patient is screened for symptoms before being admitted.,,P2,patient,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-007,authorities,/ɔːˈθɒr.ə.tiz/,"People, Refugees & Vulnerable Groups",word,people or organizations with the power to make official decisions,nhà chức trách,The authorities urged the public to remain calm and follow safety guidelines.,,P2,authorities,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-008,health officials,/helθ əˈfɪʃ.əlz/,"People, Refugees & Vulnerable Groups",noun_phrase,people whose job involves making decisions about public health,quan chức y tế,Health officials issued a warning after detecting a new strain of the virus.,,P2,health officials,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
symp-001,piercing headache,/ˈpɪə.sɪŋ ˈhed.eɪk/,Symptoms & Medical Effects,noun_phrase,"a very sharp, intense pain in the head",đau đầu dữ dội,She woke up with a piercing headache that lasted all morning.,,P2,piercing headache,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;symp
symp-002,nausea,/ˈnɔː.zi.ə/,Symptoms & Medical Effects,word,the feeling that you are going to vomit,buồn nôn,The medication can cause nausea and dizziness in some patients.,,P2,nausea,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;symp
symp-003,muscle and joint pain,/ˈmʌs.əl ənd dʒɔɪnt peɪn/,Symptoms & Medical Effects,noun_phrase,soreness or aching in the muscles and the places where bones meet,đau cơ và đau khớp,Flu often causes muscle and joint pain that can last for several days.,,P2,muscle and joint pain,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;symp
symp-004,symptom,/ˈsɪmp.təm/,Symptoms & Medical Effects,word,a change in the body that indicates the presence of a disease,triệu chứng,Anyone showing symptoms should isolate immediately and contact a doctor.,,P2,symptom,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;symp
symp-005,cause death,/kɔːz deθ/,Symptoms & Medical Effects,verb_phrase,to result in someone dying,gây tử vong,Untreated infections of this kind can cause death within a matter of days.,,P2,cause death,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;symp
econ-001,pharmacist,/ˈfɑː.mə.sɪst/,"Economy, Supply & Response",word,a person whose job is to prepare and sell medicines,dược sĩ,The pharmacist explained how often the medicine should be taken.,,P2,pharmacist,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-002,demand,/dɪˈmɑːnd/,"Economy, Supply & Response",word,the desire or need of customers for goods or services,nhu cầu,Demand for face masks rose sharply at the start of the outbreak.,,P2,demand,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-003,increase prices,/ɪnˈkriːs ˈpraɪ.sɪz/,"Economy, Supply & Response",verb_phrase,to raise the amount of money charged for something,tăng giá,Some sellers increased prices unfairly during the shortage.,,P2,increase prices,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-004,supplies,/səˈplaɪz/,"Economy, Supply & Response",word,the amounts of things that are provided or available to be used,"nguồn cung cấp, vật tư",Trucks carrying medical supplies arrived at the border on Tuesday.,,P2,supplies,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-005,provide supplies,/prəˈvaɪd səˈplaɪz/,"Economy, Supply & Response",verb_phrase,to give materials or goods that are needed,cung cấp vật tư,International donors agreed to provide supplies of clean water and food.,,P2,provide supplies,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-006,deploy experts,/dɪˈplɔɪ ˈek.spɜːts/,"Economy, Supply & Response",verb_phrase,to send specialists to a particular place to do a particular job,triển khai chuyên gia,The agency will deploy experts to assess damage in the affected region.,,P2,deploy experts,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-007,deployed experts on the ground,/dɪˈplɔɪd ˈek.spɜːts ɒn ðə ɡraʊnd/,"Economy, Supply & Response",prepositional_pattern,sent trained specialists to a specific location to handle or investigate a situation in person,đã triển khai chuyên gia tại hiện trường,The WHO has deployed experts on the ground to help with case management.,,P2,deployed experts on the ground,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-008,train doctors,/treɪn ˈdɒk.təz/,"Economy, Supply & Response",verb_phrase,to teach doctors the skills they need for their work,đào tạo bác sĩ,The program will train doctors in emergency response techniques.,,P2,train doctors,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-009,on the ground,/ɒn ðə ɡraʊnd/,"Economy, Supply & Response",prepositional_pattern,"in the place where something is actually happening, not in offices far away","tại hiện trường, trực tiếp",Volunteers on the ground reported that aid was finally reaching remote villages.,,P2,on the ground,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
econ-010,test for,/test fə/,"Economy, Supply & Response",prepositional_pattern,to examine someone or something in order to find out whether a particular substance or condition is present,xét nghiệm để phát hiện,Travelers were tested for the virus at the airport.,,P2,test for,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;econ
report-001,record,/rɪˈkɔːd/,Reporting Verbs & Academic Language,reporting_verb,to officially note down or count something for later reference,ghi nhận,The agency recorded more than a thousand new cases in a single day.,,P2,record,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-002,report,/rɪˈpɔːt/,Reporting Verbs & Academic Language,reporting_verb,to give people information about something that has happened,"báo cáo, đưa tin",Local newspapers reported that schools would remain closed for another week.,,P2,report,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-003,according to,/əˈkɔː.dɪŋ tu/,Reporting Verbs & Academic Language,prepositional_pattern,as stated or reported by someone or something,"theo (lời, nguồn tin)","According to the latest data, unemployment fell slightly last quarter.",,P2,according to,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-004,contribute to,/kənˈtrɪb.juːt tu/,Reporting Verbs & Academic Language,prepositional_pattern,to be one of the causes of something,góp phần vào,Air pollution contributes to thousands of premature deaths every year.,,P2,contribute to,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-005,a combination of factors,/ə ˌkɒm.bɪˈneɪ.ʃən əv ˈfæk.təz/,Reporting Verbs & Academic Language,prepositional_pattern,several different causes acting together,sự kết hợp của nhiều yếu tố,A combination of factors led to the collapse of the local fishing industry.,,P2,a combination of factors,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-006,battle,/ˈbæt.əl/,Reporting Verbs & Academic Language,verb_phrase,to try very hard to deal with a difficult problem over a long period,"đối phó, chiến đấu",Researchers have been battling the disease for more than two decades.,,P2,battle,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-007,lack,/læk/,Reporting Verbs & Academic Language,verb_phrase,to have none or not enough of something,thiếu,The team lacks the experience needed to win at this level.,,P2,lack,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-008,suffer from,/ˈsʌf.ə frɒm/,Reporting Verbs & Academic Language,prepositional_pattern,"to experience the bad effects of an illness, situation or event","chịu đựng, mắc phải",Many older residents suffer from chronic respiratory conditions.,,P2,suffer from,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-009,worsen,/ˈwɜː.sən/,Reporting Verbs & Academic Language,verb_phrase,"to become worse, or to make something become worse",trở nên xấu đi,Heavy rain is expected to worsen the flooding overnight.,,P2,worsen,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
report-010,I am afraid (that)…,/aɪ əm əˈfreɪd ðət/,Reporting Verbs & Academic Language,sentence_frame,used to introduce bad news or an unwelcome opinion politely,tôi e rằng…,I am afraid that the situation will get worse before it gets better.,,P2,I am afraid (that)…,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;report
