id,source_type,source_id,term,category,type,definition_en,meaning_vi,source_sentence,my_sentence,collocation_pattern,ielts_topic,skill_use,difficulty,card_types,status,tags
pop-001,article,vietnam-two-child-policy,demographic shift,Demographic & Population,noun_phrase,a significant change in the structure or characteristics of a population,sự thay đổi nhân khẩu học,The country is undergoing a major demographic shift as its population ages rapidly.,,face a demographic shift,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics population aging
pop-002,article,vietnam-two-child-policy,fertility rate,Demographic & Population,noun_phrase,the average number of children born to a woman over her lifetime,tỷ suất sinh,Japan's fertility rate has fallen well below the replacement level.,,boost a declining fertility rate,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics birth population
pop-003,article,vietnam-two-child-policy,birthrate,Demographic & Population,noun,the number of live births per thousand of population per year,tỷ lệ sinh,The nation's birthrate fell to a record low last year.,,birthrate fell to a record low,population,writing-task2,B2,basic;cloze,new,demographics birth population
pop-004,article,vietnam-two-child-policy,replacement level,Demographic & Population,noun_phrase,the fertility rate at which a population exactly replaces itself from one generation to the next,mức sinh thay thế,A fertility rate of 2.1 is generally considered the replacement level.,,drop below the replacement level,population,writing-task2,B2,basic;cloze,new,demographics birth population
pop-005,article,vietnam-two-child-policy,population aging,Demographic & Population,noun_phrase,a process by which the proportion of older persons in a population increases,già hoá dân số,Many developed countries are facing the challenges of population aging.,,face the challenges of population aging,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics aging elderly
pop-006,article,vietnam-two-child-policy,aging population,Demographic & Population,noun_phrase,a population in which the proportion of elderly people is rising,dân số đang già hoá,An aging population puts pressure on healthcare systems.,,aging population puts pressure on,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics aging elderly
pop-007,article,vietnam-two-child-policy,aged population,Demographic & Population,noun_phrase,a population in which a large share of citizens are elderly,dân số già,Japan is widely regarded as an aged population.,,regarded as an aged population,population,writing-task2,C1,basic;cloze,new,demographics aging elderly
pop-008,article,vietnam-two-child-policy,young workers,Demographic & Population,noun_phrase,people of working age typically in early or mid career,lực lượng lao động trẻ,Vietnam currently has a bumper crop of young workers.,,bumper crop of young workers,population,writing-task2,B2,basic;cloze,new,demographics workforce economy
pop-009,article,vietnam-two-child-policy,aging citizens,Demographic & Population,noun_phrase,older members of a population,công dân cao tuổi,Larger generations of aging citizens require more public spending.,,larger generations of aging citizens,population,writing-task2,B2,basic;cloze,new,demographics aging elderly
pop-010,article,vietnam-two-child-policy,family planning,Demographic & Population,noun_phrase,the practice of controlling the number and spacing of one's children,kế hoạch hoá gia đình,Economic pressures heavily influence family planning decisions.,,influence family planning decisions,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics policy family
pop-011,article,vietnam-two-child-policy,two-child policy,Demographic & Population,noun_phrase,a government regulation limiting families to a maximum of two children,chính sách hai con,Vietnam has abolished its two-child policy after nearly four decades.,,abolish the two-child policy,population,writing-task2,B2,basic;cloze,new,demographics policy government
pop-012,article,vietnam-two-child-policy,fertility policy,Demographic & Population,noun_phrase,government rules designed to influence the number of children people have,chính sách dân số / sinh sản,The fertility policy was introduced in 1988.,,introduce a fertility policy,population,writing-task2,B2,basic;cloze,new,demographics policy government
pop-013,article,vietnam-two-child-policy,baby bonus,Demographic & Population,noun_phrase,a payment given by the government to encourage couples to have children,tiền thưởng sinh con,Officials introduced a baby bonus of around $120.,,introduce a baby bonus,population,writing-task2,B2,basic;cloze,new,demographics policy incentive
pol-001,article,vietnam-two-child-policy,reward policy,Government Policy & Law,noun_phrase,a scheme that offers financial or material incentives to influence behaviour,chính sách khen thưởng,Some southern provinces have adopted similar reward policies.,,adopt a reward policy,population,writing-task2,B2,basic;cloze,new,policy government incentive
pol-002,article,vietnam-two-child-policy,abolish,Government Policy & Law,verb,to officially end a law system or practice,bãi bỏ / huỷ bỏ,Vietnam has decided to abolish the two-child policy.,,abolish a policy / law,population,writing-task2,B2,basic;cloze;reverse,new,policy law government
pol-003,article,vietnam-two-child-policy,eliminate,Government Policy & Law,verb,to completely remove or get rid of something,loại bỏ,The country has eliminated its policy of limiting family size.,,eliminate a policy,population,writing-task2,B2,basic;cloze,new,policy law government
pol-004,article,vietnam-two-child-policy,regulation,Government Policy & Law,noun,an official rule made by an authority,quy định,The new regulation was approved by the National Assembly.,,approve a regulation,population,writing-task2,B2,basic;cloze;reverse,new,policy law government
pol-005,article,vietnam-two-child-policy,policy change,Government Policy & Law,noun_phrase,a modification to an established course of action by a government or organisation,sự thay đổi chính sách,Many people welcomed the policy change on social media.,,welcome a policy change,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,policy government change
pol-006,article,vietnam-two-child-policy,approve (a regulation),Government Policy & Law,verb,to give official agreement to a law or rule,phê duyệt / thông qua,The National Assembly approved the new regulation on Tuesday.,,approve a regulation,population,writing-task2,B2,basic;cloze,new,policy law government
pol-007,article,vietnam-two-child-policy,formalize,Government Policy & Law,verb,to make something official or give it formal status,chính thức hoá,The new law formalizes what had already been common practice.,,formalize a practice / law,population,writing-task2,C1,basic;cloze,new,policy law government
pol-008,article,vietnam-two-child-policy,enforce,Government Policy & Law,verb,to make people obey a law or rule,thực thi / áp dụng nghiêm,The previous policy was only loosely enforced.,,enforce a regulation,population,writing-task2,B2,basic;cloze;reverse,new,policy law government
pol-009,article,vietnam-two-child-policy,loosely enforced,Government Policy & Law,adjective_phrase,applied without strict control,thực thi lỏng lẻo,Even though the regulation was loosely enforced it remained on the books.,,loosely enforced regulation,population,writing-task2,C1,basic;cloze,new,policy law government
pol-010,article,vietnam-two-child-policy,legal change,Government Policy & Law,noun_phrase,a modification of the law,sự thay đổi pháp lý,Until the legal change this week party members faced penalties.,,until the legal change,population,writing-task2,B2,basic;cloze,new,policy law government
pol-011,article,vietnam-two-child-policy,National Assembly,Government Policy & Law,noun_phrase,the elected legislative body of a country,Quốc hội,The National Assembly is responsible for passing national laws.,,approved by the National Assembly,population,writing-task2,B2,basic,new,policy government institution
pol-012,article,vietnam-two-child-policy,Communist Party officials,Government Policy & Law,noun_phrase,members holding positions within the Communist Party,cán bộ Đảng Cộng sản,Communist Party officials were the only group strictly bound by the rule.,,Communist Party officials,population,writing-task2,B2,basic,new,policy government vietnam
pol-013,article,vietnam-two-child-policy,Ministry of Health,Government Policy & Law,noun_phrase,the government department responsible for public health,Bộ Y tế,The Vietnam Ministry of Health announced the policy change online.,,Ministry of Health announced,population,writing-task2,B2,basic,new,policy government health
pol-014,article,vietnam-two-child-policy,propaganda poster,Government Policy & Law,noun_phrase,a poster designed to promote a particular political idea or cause,áp phích tuyên truyền,Officials have rolled out propaganda posters encouraging larger families.,,roll out propaganda posters,population,writing-task2,B2,basic;cloze,new,policy government media
pol-015,article,vietnam-two-child-policy,public service campaign,Government Policy & Law,noun_phrase,an organised effort by the government to inform or influence the public,chiến dịch tuyên truyền cộng đồng,Public service campaigns rarely change long-term fertility behaviour.,,public service campaigns,population,writing-task2,B2,basic;cloze,new,policy government media
eco-001,article,vietnam-two-child-policy,long-term economic prospects,Economy & Society,noun_phrase,the likely state of the economy over many years into the future,triển vọng kinh tế dài hạn,A falling birthrate threatens the country's long-term economic prospects.,,threaten long-term economic prospects,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,economy future growth
eco-002,article,vietnam-two-child-policy,demographic balance,Economy & Society,noun_phrase,the proportional relationship between different age groups in a population,cân bằng nhân khẩu,Officials are worried about the country's demographic balance.,,concerns about demographic balance,population,writing-task2,C1,basic;cloze,new,demographics population society
eco-003,article,vietnam-two-child-policy,demographic sweet spot,Economy & Society,noun_phrase,a period when a population has an unusually favourable age structure for economic growth,thời kỳ dân số vàng,Vietnam is currently in a demographic sweet spot.,,in a demographic sweet spot,population,writing-task2;speaking-part3,C1,basic;cloze,new,demographics economy growth
eco-004,article,vietnam-two-child-policy,downward spiral,Economy & Society,noun_phrase,a situation that becomes progressively worse and is hard to reverse,vòng xoáy đi xuống,Many Asian countries fear a downward spiral in their populations.,,fear a downward spiral,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,economy society decline
eco-005,article,vietnam-two-child-policy,support the economy,Economy & Society,verb_phrase,to provide the labour spending or resources that keep an economy running,hỗ trợ nền kinh tế,Fewer workers later means fewer people to support the economy.,,workers to support the economy,population,writing-task2,B2,basic;cloze,new,economy workforce society
eco-006,article,vietnam-two-child-policy,bumper crop (of workers),Economy & Society,noun_phrase,an unusually large number of something used metaphorically,lực lượng lao động dồi dào,Vietnam has a bumper crop of young workers today.,,bumper crop of young workers,population,writing-task2,C1,basic;cloze,new,economy workforce society
eco-007,article,vietnam-two-child-policy,high cost of living,Economy & Society,noun_phrase,the high level of expense required for everyday life,chi phí sinh hoạt cao,Many young couples cite the high cost of living in cities as a barrier.,,high cost of living in cities,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,economy society family
eco-008,article,vietnam-two-child-policy,affordable child care,Economy & Society,noun_phrase,child care services that ordinary families can pay for,dịch vụ trông trẻ giá phải chăng,There is a serious lack of affordable child care.,,lack of affordable child care,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,economy society family education
eco-009,article,vietnam-two-child-policy,family income,Economy & Society,noun_phrase,the total earnings of a household,thu nhập gia đình,Private schooling takes a big chunk of my family income.,,a big chunk of family income,population,writing-task2,B2,basic;cloze,new,economy family society
eco-010,article,vietnam-two-child-policy,family planning decisions,Economy & Society,noun_phrase,personal choices about whether and when to have children,quyết định kế hoạch hoá gia đình,The policy change will have little impact on her family planning decisions.,,have little impact on family planning decisions,population,writing-task2;speaking-part3,B2,basic;cloze,new,family society demographics
eco-011,article,vietnam-two-child-policy,private school,Economy & Society,noun_phrase,a school funded by tuition fees rather than the government,trường tư,Sending a child to a private school is expensive.,,send to a private school,population,writing-task2,B1,basic;cloze,new,education family economy
eco-012,article,vietnam-two-child-policy,extracurricular classes,Economy & Society,noun_phrase,lessons taken outside the regular school curriculum,lớp học ngoại khoá,She pays for extracurricular classes in English and music.,,pay for extracurricular classes,population,writing-task2,B2,basic;cloze,new,education family economy
eco-013,article,vietnam-two-child-policy,invest into (someone's) education,Economy & Society,verb_phrase,to spend time and money on a person's learning and development,đầu tư vào việc học,She prefers to invest into her daughter's education and future.,,invest into education and future,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,education family economy
pop-014,article,vietnam-two-child-policy,boost a fertility rate,Verb-Noun Collocations,verb_phrase,to increase the number of children women have on average,thúc đẩy tỷ suất sinh,The new law is intended to boost a declining fertility rate.,,boost a declining fertility rate,population,writing-task2,B2,basic;cloze,new,demographics policy collocation
pop-015,article,vietnam-two-child-policy,face a demographic shift,Verb-Noun Collocations,verb_phrase,to confront a major change in population structure,đối mặt với sự thay đổi nhân khẩu,Vietnam is facing a demographic shift similar to its neighbours.,,face a demographic shift,population,writing-task2;speaking-part3,B2,cloze,new,demographics collocation
pol-016,article,vietnam-two-child-policy,limit (families) to (two children),Verb-Noun Collocations,verb_phrase,to restrict something to a maximum number,giới hạn ở mức,The previous law limited families to no more than two children.,,limit families to two children,population,writing-task2,B2,cloze,new,policy law collocation
pol-017,article,vietnam-two-child-policy,lose bonuses,Verb-Noun Collocations,verb_phrase,to forfeit additional payments given as rewards,mất tiền thưởng,Party members could lose bonuses for having more than two children.,,lose bonuses for,population,writing-task2,B2,cloze,new,policy economy collocation
pop-016,article,vietnam-two-child-policy,encourage couples to procreate,Verb-Noun Collocations,verb_phrase,to actively persuade people to have children,khuyến khích các cặp đôi sinh con,Officials are encouraging couples to procreate.,,encourage couples to procreate,population,writing-task2,C1,basic;cloze,new,demographics policy collocation
pol-018,article,vietnam-two-child-policy,roll out (a campaign / poster),Verb-Noun Collocations,verb_phrase,to officially launch or introduce something on a large scale,triển khai,The government has rolled out propaganda posters across the country.,,roll out a campaign,population,writing-task2,B2,basic;cloze;reverse,new,policy media collocation
pol-019,article,vietnam-two-child-policy,counter a trend,Verb-Noun Collocations,verb_phrase,to act against an unwanted development,đối phó với một xu hướng,The measures aim to counter the shrinking size of families.,,counter the trend,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,policy society collocation
pol-020,article,vietnam-two-child-policy,reverse a trend,Verb-Noun Collocations,verb_phrase,to cause a development to move in the opposite direction,đảo ngược xu hướng,Payments are unlikely to reverse the trend on their own.,,reverse the trend,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,policy society collocation
gen-001,article,vietnam-two-child-policy,persuade (someone) to (do something),Verb-Noun Collocations,verb_phrase,to convince a person to take a particular action,thuyết phục ai làm gì,Public campaigns may not persuade young couples to have more children.,,persuade young couples to,population,writing-task2,B2,basic;cloze,new,general collocation
pol-021,article,vietnam-two-child-policy,adopt a policy,Verb-Noun Collocations,verb_phrase,to formally choose to follow a particular course of action,áp dụng một chính sách,Several provinces have adopted similar reward policies.,,adopt a policy,population,writing-task2,B2,basic;cloze;reverse,new,policy government collocation
pol-022,article,vietnam-two-child-policy,introduce a policy,Verb-Noun Collocations,verb_phrase,to bring a new rule or system into use for the first time,ban hành / áp dụng chính sách,The fertility policy was introduced in 1988.,,introduce a policy,population,writing-task2,B2,basic;cloze;reverse,new,policy government collocation
pol-023,article,vietnam-two-child-policy,welcome a change,Verb-Noun Collocations,verb_phrase,to express approval of a new development,hoan nghênh một sự thay đổi,She welcomed the policy change but doubted its impact.,,welcome a change,population,writing-task2,B2,basic;cloze,new,policy society collocation
gen-002,article,vietnam-two-child-policy,scorn (an idea),Verb-Noun Collocations,verb,to express strong contempt or rejection of something,khinh thường / chê bai,Many commenters scorned the idea of large families.,,scorn the idea of,population,writing-task2,C1,basic;cloze,new,general attitude collocation
gen-003,article,vietnam-two-child-policy,have an impact on,Verb-Noun Collocations,verb_phrase,to produce a noticeable effect on something,có tác động đến,The new law will have little impact on her decisions.,,have little impact on,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,general collocation
fam-001,article,vietnam-two-child-policy,raise (children / kids),Verb-Noun Collocations,verb,to bring up and provide for children until adulthood,nuôi dạy con cái,She said she could not afford to raise two kids.,,raise children / kids,population,writing-task2;speaking-part3,B1,basic;cloze,new,family collocation
pop-017,article,vietnam-two-child-policy,declining fertility rate,Adjective-Noun Collocations,noun_phrase,a fertility rate that is steadily decreasing,tỷ suất sinh đang giảm,The government is alarmed by the country's declining fertility rate.,,declining fertility rate,population,writing-task2,B2,basic;cloze,new,demographics population collocation
gen-004,article,vietnam-two-child-policy,record low,Adjective-Noun Collocations,noun_phrase,the lowest level ever recorded,mức thấp kỷ lục,The birthrate fell to a record low last year.,,fall to a record low,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,general statistics collocation
gen-005,article,vietnam-two-child-policy,consecutive year,Adjective-Noun Collocations,noun_phrase,a year that follows directly after another,năm liên tiếp,It was the third consecutive year of decline.,,third consecutive year,population,writing-task2,B2,basic;cloze,new,general statistics collocation
gen-006,article,vietnam-two-child-policy,common practice,Adjective-Noun Collocations,noun_phrase,behaviour widely accepted or followed by most people,thực tế phổ biến,Having one or two children has long been common practice.,,long been common practice,population,writing-task2,B2,basic;cloze;reverse,new,general society collocation
fam-002,article,vietnam-two-child-policy,large families,Adjective-Noun Collocations,noun_phrase,households with many children,gia đình đông con,Many young people no longer aspire to have large families.,,aspire to have large families,population,writing-task2;speaking-part3,B2,basic;cloze,new,family society collocation
fam-003,article,vietnam-two-child-policy,young couples,Adjective-Noun Collocations,noun_phrase,partners in early adulthood often newly married,các cặp đôi trẻ,Young couples increasingly delay having children.,,young couples delay having children,population,writing-task2;speaking-part3,B1,basic;cloze,new,family society collocation
pop-018,article,vietnam-two-child-policy,shrinking size (of families),Adjective-Noun Collocations,noun_phrase,the gradual reduction in family numbers,quy mô gia đình đang thu hẹp,The shrinking size of families is a growing concern.,,shrinking size of families,population,writing-task2,B2,basic;cloze,new,demographics family collocation
gen-007,article,vietnam-two-child-policy,official post,Adjective-Noun Collocations,noun_phrase,a public statement published by an authority,bài đăng chính thức,The ministry's official post drew thousands of comments.,,official post drew comments,population,writing-task2,B2,basic;cloze,new,general media government collocation
eco-014,article,vietnam-two-child-policy,big chunk (of income),Adjective-Noun Collocations,noun_phrase,a large portion or share,phần lớn (thu nhập),Tuition takes a big chunk of my family income.,,a big chunk of income,population,writing-task2,B2,basic;cloze,new,economy family collocation
gen-008,article,vietnam-two-child-policy,according to,Reporting & Discussion,prepositional_phrase,as stated or reported by a particular source,theo (nguồn nào đó),According to the United Nations Vietnam is in a period of aging.,,according to [source],population,writing-task2,B1,basic;cloze,new,reporting academic collocation
gen-009,article,vietnam-two-child-policy,report,Reporting & Discussion,verb,to give an account of something based on observation or inquiry,tường thuật / đưa tin,The journalist reported from Ho Chi Minh City.,,reported that / from,population,writing-task2,B1,basic;cloze,new,reporting academic
pol-024,article,vietnam-two-child-policy,announce (a policy change),Reporting & Discussion,verb,to make something officially known to the public,thông báo,The Ministry of Health announced the policy change on Facebook.,,announce a policy change,population,writing-task2,B2,basic;cloze,new,reporting policy government
gen-010,article,vietnam-two-child-policy,respond to (a post),Reporting & Discussion,verb_phrase,to react publicly to something published,phản hồi,Many users responded to the official post with criticism.,,respond to with criticism,population,writing-task2,B2,basic;cloze,new,reporting media general
pop-019,article,vietnam-two-child-policy,concerns intensify,Reporting & Discussion,verb_phrase,worries become stronger or more serious,mối lo ngại gia tăng,Concerns about the demographic balance have begun to intensify.,,concerns have begun to intensify,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,reporting demographics society
eco-015,article,vietnam-two-child-policy,fear a downward spiral,Reporting & Discussion,verb_phrase,to be worried that things will get progressively worse,lo sợ vòng xoáy đi xuống,Vietnam fears a downward spiral similar to Japan's.,,fear a downward spiral,population,writing-task2;speaking-part3,B2,cloze,new,reporting economy demographics
eco-016,article,vietnam-two-child-policy,threaten (prospects),Reporting & Discussion,verb,to put something at risk of harm or failure,đe doạ,Falling birthrates threaten the country's economic prospects.,,threaten economic prospects,population,writing-task2,B2,basic;cloze;reverse,new,reporting economy society
gen-011,article,vietnam-two-child-policy,insist (that),Reporting & Discussion,verb,to state firmly that something is the case,khẳng định / nhấn mạnh,She insisted the change would not affect her plans.,,insisted that,population,writing-task2,B2,basic;cloze,new,reporting academic general
fam-004,article,vietnam-two-child-policy,repeat the pattern,Reporting & Discussion,verb_phrase,to do the same thing again in the same way,lặp lại khuôn mẫu,She did not want to repeat the pattern of her own childhood.,,repeat the pattern of,population,writing-task2;speaking-part3,B2,basic;cloze,new,reporting family society
gen-012,article,vietnam-two-child-policy,sign of (something),Reporting & Discussion,noun_phrase,evidence indicating something is happening,dấu hiệu của,There is little sign that payments will reverse the trend.,,little sign that,population,writing-task2,B2,basic;cloze,new,reporting academic general
gen-013,article,vietnam-two-child-policy,as is the case (in),Reporting & Discussion,fixed_phrase,in the same way that something happens elsewhere,như tình hình ở,As is the case in other countries incentives have limited effect.,,as is the case in,population,writing-task2,C1,basic;cloze,new,reporting academic general
gen-014,article,vietnam-two-child-policy,with the exception of,Useful Phrases & Expressions,fixed_phrase,except for,ngoại trừ,The rule applied to everyone with the exception of party officials.,,with the exception of,population,writing-task2,B2,basic;cloze;reverse,new,phrases academic general
gen-015,article,vietnam-two-child-policy,until the legal change this week,Useful Phrases & Expressions,fixed_phrase,up to the point when the law was changed recently,cho đến khi có thay đổi pháp lý tuần này,Penalties remained until the legal change this week.,,until the legal change,population,writing-task2,B2,cloze,new,phrases policy law
gen-016,article,vietnam-two-child-policy,as many ... as they want,Useful Phrases & Expressions,fixed_phrase,an unlimited number of something,bao nhiêu tuỳ ý,Families can now have as many children as they want.,,as many ... as they want,population,writing-task2;speaking-part3,B1,basic;cloze,new,phrases general family
gen-017,article,vietnam-two-child-policy,in fact,Useful Phrases & Expressions,discourse_marker,used to introduce a stronger or more accurate statement,thực ra / trên thực tế,In fact officials are now encouraging larger families.,,in fact,population,writing-task2,B1,basic,new,phrases discourse academic
gen-018,article,vietnam-two-child-policy,for all the usual reasons,Useful Phrases & Expressions,fixed_phrase,for the same well-known reasons people commonly give,vì tất cả những lý do thường thấy,Commenters opposed large families for all the usual reasons.,,for all the usual reasons,population,writing-task2,C1,basic;cloze,new,phrases discourse general
gen-019,article,vietnam-two-child-policy,little sign that,Useful Phrases & Expressions,fixed_phrase,almost no evidence that something is happening,có rất ít dấu hiệu rằng,There is little sign that the trend will reverse.,,little sign that,population,writing-task2,B2,basic;cloze;reverse,new,phrases academic reporting
gen-020,article,vietnam-two-child-policy,have little impact on,Useful Phrases & Expressions,fixed_phrase,to produce only a small effect,ít ảnh hưởng đến,The change will have little impact on her decisions.,,have little impact on,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,phrases academic collocation
eco-017,article,vietnam-two-child-policy,a big chunk of,Useful Phrases & Expressions,fixed_phrase,a large portion of something,một phần lớn của,Schooling takes a big chunk of my income.,,a big chunk of,population,writing-task2,B2,basic;cloze,new,phrases economy family
pop-020,article,vietnam-two-child-policy,aging citizens,Adjective-Noun Collocations,noun_phrase,older members of society who are growing old,công dân cao tuổi,Larger generations of aging citizens will require more support.,,aging citizens,population,writing-task2,B2,basic;cloze,new,demographics aging collocation
eco-018,article,vietnam-two-child-policy,bumper crop,Adjective-Noun Collocations,noun_phrase,an unusually large amount used figuratively,lượng dồi dào,The country still has a bumper crop of workers.,,bumper crop of,population,writing-task2,C1,basic;cloze,new,economy society collocation
gen-021,article,vietnam-two-child-policy,I am not sure if,Useful Phrases & Expressions,fixed_phrase,expressing uncertainty about whether something is possible,tôi không chắc liệu,I am not sure if I can afford another child.,,I am not sure if,population,speaking-part3,B1,basic,new,phrases speaking general
gen-022,article,vietnam-two-child-policy,why have more and suffer,Useful Phrases & Expressions,rhetorical_question,rhetorical question expressing reluctance to take on more burden,tại sao phải có thêm rồi khổ,One commenter wrote why have more and suffer?,,"why have more and ""suffer""?",population,speaking-part3,C1,basic,new,phrases speaking attitude
